algorithm,cpython,ctypes,cython,pycompile,pypy
K_Nucleotide,0.01120025634765625,0.011014580726623535,0.011134881973266602,0.011432805061340333,0.011715450286865235
binary_trees,78.11383852481842,7.890259480476379,6.573433423042298,78.29330416202545,10.765991711616516
fannkuch_redux,1.574516296386719e-05,0.5094278907775879,10.526147356033325,15.602048382759094,3.2457240629196167
fasta,0.3876806640625,0.010809249877929687,0.03490278720855713,0.3871436882019043,0.08064700126647949
hanoi,5.192964210510254,3.9129542684555054,4.616051383018494,4.929460830688477,5.6504107141494755
knn,0.8206931304931641,0.2404433234532674,0.7440150260925293,0.8175534677505493,0.16258982181549073
mandelbrot,0.062226080894470216,0.01716813087463379,0.01156611442565918,0.06283477306365967,0.01727559566497803
n_queens,16.724624466896056,8.997850937843323,7.911697978973389,18.408292117118837,7.095976853370667
nbody,53.07476050376892,9.050139932632446,21.94111473083496,49.41032201766968,26.695452523231506
pi_digits,0.005646169185638428,0.010277743339538575,0.010375442504882813,0.010862698554992676,0.010709147453308105
regex_redux,0.010967345237731933,0.011338043212890624,0.010820794105529784,0.011072044372558593,0.0004436063766479492
reverse_complement,3.30131404876709,0.27482147693634035,4.514169111251831,3.2847808837890624,2.6550643062591552
sieve,10.445477275848388,12.08083885192871,9.43695152759552,11.924428782463075,8.676106224060058
spectral_norm,3.679777355194092,0.05751395225524902,3.679777355194092,3.668473448753357,1.817727165222168
strassen,3.4283283662796022,0.11439237276713053,1.4869061708450317,3.49222993850708,1.8301635026931762
